Wavelength (nm),Irradiance (W/m^2 nm),Normalized,,wavelength,1.5 AM irrandiance,Normalized 1.5AM
,,,,1612,0.22422,1.56E-01
,,,,1613,0.23047,1.61E-01
,,,,1614,0.23162,1.61E-01
,,,,1615,0.2342,1.63E-01
,,,,1616,0.22395,1.56E-01
,,,,1617,0.22798,1.59E-01
,,,,1618,0.2366,1.65E-01
,,,,1619,0.23415,1.63E-01
,,,,1620,0.22783,1.59E-01
,,,,1621,0.22765,1.59E-01
,,,,1622,0.23081,1.61E-01
,,,,1623,0.23559,1.64E-01
,,,,1624,0.23582,1.64E-01
,,,,1625,0.23109,1.61E-01
,,,,1626,0.23294,1.62E-01
,,,,1627,0.23398,1.63E-01
,,,,1628,0.23446,1.63E-01
,,,,1629,0.23456,1.63E-01
,,,,1630,0.22984,1.60E-01
,,,,1631,0.23136,1.61E-01
,,,,1632,0.23151,1.61E-01
,,,,1633,0.22614,1.58E-01
,,,,1634,0.22628,1.58E-01
,,,,1635,0.22712,1.58E-01
,,,,1636,0.22879,1.59E-01
,,,,1637,0.22064,1.54E-01
,,,,1638,0.21393,1.49E-01
,,,,1639,0.2141,1.49E-01
,,,,1640,0.20913,1.46E-01
,,,,1641,0.21348,1.49E-01
,,,,1642,0.21467,1.50E-01
,,,,1643,0.20939,1.46E-01
,,,,1644,0.21733,1.51E-01
,,,,1645,0.21216,1.48E-01
,,,,1646,0.21147,1.47E-01
,,,,1647,0.22135,1.54E-01
,,,,1648,0.21057,1.47E-01
,,,,1649,0.21261,1.48E-01
,,,,1650,0.21902,1.53E-01
,,,,1651,0.20281,1.41E-01
,,,,1652,0.21754,1.52E-01
,,,,1653,0.21661,1.51E-01
,,,,1654,0.20991,1.46E-01
,,,,1655,0.21619,1.51E-01
,,,,1656,0.21494,1.50E-01
,,,,1657,0.21613,1.51E-01
,,,,1658,0.2187,1.52E-01
,,,,1659,0.21514,1.50E-01
,,,,1660,0.21721,1.51E-01
,,,,1661,0.21774,1.52E-01
,,,,1662,0.21313,1.49E-01
,,,,1663,0.2163,1.51E-01
,,,,1664,0.21498,1.50E-01
,,,,1665,0.20607,1.44E-01
,,,,1666,0.17411,1.21E-01
,,,,1667,0.20502,1.43E-01
,,,,1668,0.20881,1.46E-01
,,,,1669,0.20939,1.46E-01
,,,,1670,0.21573,1.50E-01
,,,,1671,0.21294,1.48E-01
,,,,1672,0.20582,1.43E-01
,,,,1673,0.21052,1.47E-01
,,,,1674,0.21002,1.46E-01
,,,,1675,0.20793,1.45E-01
,,,,1676,0.20584,1.43E-01
,,,,1677,0.20668,1.44E-01
,,,,1678,0.20365,1.42E-01
,,,,1679,0.20741,1.45E-01
,,,,1680,0.20017,1.40E-01
,,,,1681,0.18936,1.32E-01
,,,,1682,0.1983,1.38E-01
,,,,1683,0.20357,1.42E-01
,,,,1684,0.19283,1.34E-01
,,,,1685,0.20763,1.45E-01
,,,,1686,0.20476,1.43E-01
,,,,1687,0.19951,1.39E-01
,,,,1688,0.20465,1.43E-01
,,,,1689,0.20178,1.41E-01
,,,,1690,0.19991,1.39E-01
,,,,1691,0.18808,1.31E-01
,,,,1692,0.20174,1.41E-01
,,,,1693,0.20587,1.43E-01
,,,,1694,0.1995,1.39E-01
,,,,1695,0.20427,1.42E-01
,,,,1696,0.20383,1.42E-01
,,,,1697,0.17649,1.23E-01
,,,,1698,0.20207,1.41E-01
,,,,1699,0.20024,1.40E-01
,,,,1700,0.19464,1.36E-01
,,,,1702,0.19874,1.39E-01
,,,,1705,0.19275,1.34E-01
,,,,1710,0.18316,1.28E-01
,,,,1715,0.1849,1.29E-01
,,,,1720,0.18231,1.27E-01
,,,,1725,0.17367,1.21E-01
,,,,1730,0.16979,1.18E-01
,,,,1735,0.15758,1.10E-01
,,,,1740,0.16405,1.14E-01
