Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,Abs FOM,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber
o-IO2,-7.03,-6.28,-2.75,-2.52,0.75,0.22999999999999998,14440.9,2.632835207,-5052.29032164935,5.77321,5.925281602,17.414443315353605,2.632835207,2.632835207,1.7903827819999998,14440.9,1.7903827819999998,14440.9
IDST-4F,-7.41,-6.54,-2.76,-2.46,0.8700000000000001,0.2999999999999998,15134.8,1.344460897,-4552.27094258724,3.84374,5.438362505999999,18.355276188191223,1.344460897,1.344460897,1.8764125039999997,15134.8,1.8764125039999997,15134.8
BDTN-Th,-7.15,-6.34,-2.59,-2.22,0.8100000000000005,0.36999999999999966,15764.4,1.663545645,-5174.643973649508,8.57998,5.880717901,24.825607570285843,1.663545645,1.663545645,1.9544703119999998,15764.4,1.9544703119999998,15764.4
IDTT-TBTA,-7.39,-6.65,-2.35,-1.87,0.7399999999999993,0.48,19632.3,2.937332478,-5609.17259263791,2.40521,4.084531018,13.003985426564247,2.937332478,2.937332478,2.4340125539999997,19632.3,2.4340125539999997,19632.3
BTP-4Cl,-7.61,-6.65,-2.8,-2.47,0.96,0.3299999999999996,16478.7,2.353082615,-6412.949112550391,1.49556,6.820534342999999,23.23173027279785,2.353082615,2.353082615,2.043029226,16478.7,2.043029226,16478.7
ZY-4Cl,-7.21,-6.66,-2.51,-1.96,0.5499999999999998,0.5499999999999998,16349.4,1.115388543,-6116.154144426905,1.49537,3.948036874,21.49735527003627,0.008061014,1.115388543,2.026998612,16349.4,2.3227033099999996,18734.5
EH-IDTBR,-6.9,-6.26,-2.52,-2.26,0.6400000000000006,0.26000000000000023,15769.2,2.521164538,-6141.949494651663,1.65325,4.370441892,15.439755677634574,2.521164538,2.521164538,1.9550654159999998,15769.2,1.9550654159999998,15769.2
BTN-4F,-7.33,-6.75,-2.52,-2.5,0.5800000000000001,0.020000000000000018,19455.1,0.847015202,-3997.320800974769,1.50666,4.599313838,13.032447119431788,0.847015202,0.847015202,2.4120432979999995,19455.1,2.4120432979999995,19455.1
BCDT-4F,-7.06,-6.39,-2.83,-2.42,0.6699999999999999,0.41000000000000014,14027.7,2.504194452,-5401.44226700062,4.90574,5.9883107110000005,16.336839413373042,2.504194452,2.504194452,1.739154246,14027.7,1.739154246,14027.7
FDICTF,-7.34,-6.61,-2.44,-2.23,0.7299999999999995,0.20999999999999996,17904.8,1.714461555,-3514.231583290356,7.34346,5.28986924,17.498999972179515,1.714461555,1.714461555,2.219837104,17904.8,2.219837104,17904.8
