Donor/acceptor pair,FOM 1.5G AM
PBDB-T_tetra and i-cc34,61.8926062309531
PDCBT-Cl_tetra and i-cc34,36.14474180533406
PTB7-Th_tetra and i-cc34,45.03686161087883
P3HT and o-IO1,44.16027249494062
PBDB-T-2Cl_dimer and o-IO1,52.542462400924975
PBDB-TF_dimer and o-IO1,54.39658421961517
PBDB-T_tetra and o-IO1,77.56614533584751
PDCBT-Cl_tetra and o-IO1,51.818280910228474
PTB7-Th_tetra and o-IO1,60.71040071577325
P3HT and o-IO2,31.743087914997684
PBDB-T-2Cl_dimer and o-IO2,40.12527782098209
PBDB-TF_dimer and o-IO2,41.97939963967227
PBDB-T_tetra and o-IO2,65.1489607559046
PDCBT-Cl_tetra and o-IO2,39.40109633028565
PTB7-Th_tetra and o-IO2,48.293216135830335
P3HT and p-IO1,44.42948297192159
PBDB-T-2Cl_dimer and p-IO1,52.81167287790598
PBDB-TF_dimer and p-IO1,54.66579469659613
PBDB-T_tetra and p-IO1,77.83535581282852
PDCBT-Cl_tetra and p-IO1,52.087491387209454
PTB7-Th_tetra and p-IO1,60.97961119275417
P3HT and p-IO2,40.86435518393843
PBDB-T-2Cl_dimer and p-IO2,49.24654508992283
PBDB-TF_dimer and p-IO2,51.10066690861297
PBDB-T_tetra and p-IO2,74.27022802484542
PDCBT-Cl_tetra and p-IO2,48.522363599226345
PTB7-Th_tetra and p-IO2,57.414483404771175
